case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.27312
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.25153
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,2,0.255889
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,0,0.107581
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,1,0.082494
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,2,0.093665
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,0,0.087303
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,1,0.092703
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,2,0.078738
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,0,0.09122
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,1,0.086783
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,2,0.083516
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.236132
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.238997
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,2,0.227776
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,0,0.082915
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,1,0.077756
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,2,0.075201
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,0,0.085721
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,1,0.081572
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,2,0.079689
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,0,0.092854
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,1,0.088175
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,2,0.085861
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.235961
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.231523
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,2,0.227476
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,0,0.122669
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,1,0.100367
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,2,0.091582
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,0,0.130464
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,1,0.116378
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,2,0.112801
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,0,0.139631
